"knot_id" "number_of_crossings" "is_alternating" "signature" "s-value"
"488" "KhPolQ_K12n_6!" 12 0 4 -4
"489" "KhPolQ_K12n_7" 12 0 2 0
"490" "KhPolQ_K12n_7!" 12 0 -2 0
"491" "KhPolQ_K12n_8" 12 0 -4 4
"492" "KhPolQ_K12n_8!" 12 0 4 -4
"493" "KhPolQ_K12n_9" 12 0 2 -2
"494" "KhPolQ_K12n_9!" 12 0 -2 2
"495" "KhPolQ_K12n_10" 12 0 2 0
"496" "KhPolQ_K12n_10!" 12 0 -2 0
"497" "KhPolQ_K12n_11" 12 0 0 0
"498" "KhPolQ_K12n_11!" 12 0 0 0
"499" "KhPolQ_K12n_12" 12 0 -2 2
"500" "KhPolQ_K12n_12!" 12 0 2 -2
"501" "KhPolQ_K12n_13" 12 0 0 0
"502" "KhPolQ_K12n_13!" 12 0 0 0
"503" "KhPolQ_K12n_14" 12 0 0 0
"504" "KhPolQ_K12n_14!" 12 0 0 0
"505" "KhPolQ_K12n_15" 12 0 2 -2
"506" "KhPolQ_K12n_15!" 12 0 -2 2
"507" "KhPolQ_K12n_16" 12 0 -4 4
"508" "KhPolQ_K12n_16!" 12 0 4 -4
