"knot_id" "number_of_crossings" "is_alternating" "signature" "s-value" "norm"
"300" "KhPolQ_K11n_97!" 11 0 0 0 5.56776436283002
"301" "KhPolQ_K11n_98" 11 0 0 0 24.9198715887542
"302" "KhPolQ_K11n_98!" 11 0 0 0 24.9198715887542
"303" "KhPolQ_K11n_99" 11 0 2 -2 14.247806848775
"304" "KhPolQ_K11n_99!" 11 0 -2 2 14.247806848775
"305" "KhPolQ_K11n_100" 11 0 0 0 16.1554944214035
"306" "KhPolQ_K11n_100!" 11 0 0 0 16.1554944214035
"307" "KhPolQ_K11n_101" 11 0 2 -2 13.8924439894498
"308" "KhPolQ_K11n_101!" 11 0 -2 2 13.8924439894498
"309" "KhPolQ_K11n_102" 11 0 2 -2 3.60555127546399
"310" "KhPolQ_K11n_102!" 11 0 -2 2 3.60555127546399
"311" "KhPolQ_K11n_103" 11 0 4 -4 23.3452350598575
"312" "KhPolQ_K11n_103!" 11 0 -4 4 23.3452350598575
"313" "KhPolQ_K11n_104" 11 0 -6 6 3.3166247903554
"314" "KhPolQ_K11n_104!" 11 0 6 -6 3.3166247903554
"315" "KhPolQ_K11n_105" 11 0 -4 4 24.8797106092495
"316" "KhPolQ_K11n_105!" 11 0 4 -4 24.8797106092495
"317" "KhPolQ_K11n_106" 11 0 2 -2 9.64365076099295
"318" "KhPolQ_K11n_106!" 11 0 -2 2 9.64365076099295
"319" "KhPolQ_K11n_107" 11 0 -4 4 7.54983443527075
"320" "KhPolQ_K11n_107!" 11 0 4 -4 7.54983443527075
"321" "KhPolQ_K11n_108" 11 0 4 -4 26.5141471671257
"322" "KhPolQ_K11n_108!" 11 0 -4 4 26.5141471671257
"323" "KhPolQ_K11n_109" 11 0 4 -4 20.6155281280883
"324" "KhPolQ_K11n_109!" 11 0 -4 4 20.6155281280883
"325" "KhPolQ_K11n_110" 11 0 0 0 15
"326" "KhPolQ_K11n_110!" 11 0 0 0 15
"327" "KhPolQ_K11n_111" 11 0 -2 2 4.58257569495584
"328" "KhPolQ_K11n_111!" 11 0 2 -2 4.58257569495584
"329" "KhPolQ_K11n_112" 11 0 -2 2 20.0249843945008
"330" "KhPolQ_K11n_112!" 11 0 2 -2 20.0249843945008
"331" "KhPolQ_K11n_113" 11 0 2 -2 12.369316876853
"332" "KhPolQ_K11n_113!" 11 0 -2 2 12.369316876853
"333" "KhPolQ_K11n_114" 11 0 0 0 19.2613602842582
"334" "KhPolQ_K11n_114!" 11 0 0 0 19.2613602842582
"335" "KhPolQ_K11n_115" 11 0 0 0 27.9105714739057
"336" "KhPolQ_K11n_115!" 11 0 0 0 27.9105714739057
"337" "KhPolQ_K11n_116" 11 0 0 0 2.64575131106459
"338" "KhPolQ_K11n_116!" 11 0 0 0 2.64575131106459
"339" "KhPolQ_K11n_117" 11 0 -2 2 12.7671453348037
"340" "KhPolQ_K11n_117!" 11 0 2 -2 12.7671453348037
"341" "KhPolQ_K11n_118" 11 0 -4 4 7.93725393319377
"342" "KhPolQ_K11n_118!" 11 0 4 -4 7.93725393319377
"343" "KhPolQ_K11n_119" 11 0 0 0 24.8394846967484
"344" "KhPolQ_K11n_119!" 11 0 0 0 24.8394846967484
"345" "KhPolQ_K11n_120" 11 0 -2 2 16.8226038412607
"346" "KhPolQ_K11n_120!" 11 0 2 -2 16.8226038412607
